date	load	ram	disk	temperature
10-04-2015-14:16:26	24.32	84	30	42.236
10-04-2015-14:16:31	22.46	84	30	42.774
10-04-2015-14:16:37	23.7	84	30	42.236
10-04-2015-14:16:43	24.68	84	30	42.774
10-04-2015-14:16:49	23.76	84	30	42.236
10-04-2015-14:16:55	21.86	84	30	42.774
10-04-2015-14:17:01	22.51	84	30	42.236
10-04-2015-14:17:08	23.27	84	30	42.236
10-04-2015-14:17:14	23.53	84	30	42.236
10-04-2015-14:17:20	21.65	84	30	42.774
10-04-2015-14:17:26	22.96	84	30	42.774
10-04-2015-14:17:33	23.84	84	30	42.774
10-04-2015-14:17:39	23.6	84	30	42.236
10-04-2015-14:17:45	21.79	84	30	42.236
10-04-2015-14:17:51	22.84	84	30	42.774
10-04-2015-14:17:58	23.5	84	30	42.774
10-04-2015-14:18:04	23.42	85	30	42.236
10-04-2015-14:18:11	21.63	85	30	42.774
10-04-2015-14:18:17	23.5	85	30	42.236
10-04-2015-14:18:23	24.5	85	30	42.774
10-04-2015-14:18:30	23.9	85	30	42.236
10-04-2015-14:18:36	24.87	85	30	42.774
10-04-2015-14:18:42	25.76	85	30	42.236
10-04-2015-14:18:49	27.82	85	30	42.774
10-04-2015-14:18:55	25.67	85	30	42.236
10-04-2015-14:19:02	26.66	86	30	42.236
10-04-2015-14:19:08	27.33	86	30	42.236
10-04-2015-14:19:15	25.85	85	30	42.774
10-04-2015-14:19:21	27.95	86	30	42.774
10-04-2015-14:19:28	28.75	86	30	42.774
10-04-2015-14:19:34	27.8	86	30	42.774
10-04-2015-14:19:41	28.7	85	30	42.236
10-04-2015-14:19:48	29.68	85	30	42.774
10-04-2015-14:19:54	27.48	86	30	42.774
10-04-2015-14:20:01	25.28	86	30	42.236
10-04-2015-14:20:08	26.38	86	30	42.774
10-04-2015-14:20:14	25.71	86	30	42.236
10-04-2015-14:20:21	25.82	86	30	42.236
10-04-2015-14:20:28	27.75	86	30	42.236
